table,en,fr,ml,pa,hi,pt,es,it
alt,Fisherman's Bastion Detail Budapest,"Détail du Bastion des pêcheurs, Budapest","ഫിഷർമാൻസ് ബാസ്റ്റ്യൺ വിശദാംശം, ബുഡാപെസ്റ്റ്","ਫਿਸ਼ਰਮੈਨਜ਼ ਬੇਸ਼ਨ ਦਾ ਵੇਰਵਾ, ਬੁਡਾਪੇਸਟ","फ़िशरमैन्स बेस्शन का विवरण, बुडापेस्ट","Detalhe do Bastião dos Pescadores, Budapeste","Detalle del Bastión de los Pescadores, Budapest","Dettaglio del Bastione dei Pescatori, Budapest"
alt,Flowers in Lyon,Fleurs à Lyon,ലിയോണിലെ പൂക്കൾ,ਲਿਓਂ ਵਿੱਚ ਫੁੱਲ,ल्यों में फूल,Flores em Lyon,Flores en Lyon,Fiori a Lione
alt,Fort National (Saint-Malo),Fort National (Saint-Malo),ഫോർട്ട് നാഷണൽ (സാൻ-മാലോ),ਫੋਰਟ ਨੈਸ਼ਨਲ (ਸੈਂ-ਮਾਲੋ),फोर्ट नेशनल (सैं-मालो),Forte Nacional (Saint-Malo),Fuerte Nacional (Saint-Malo),Forte Nazionale (Saint-Malo)
alt,"Fountain in front of building of Polish National Radio Symphony Orchestra, Katowice","Fontaine devant le bâtiment de l'Orchestre symphonique national de la radio polonaise, Katowice","പോളിഷ് നാഷണൽ റേഡിയോ സിംഫണി ഓർക്കസ്ട്രയുടെ കെട്ടിടത്തിന് മുന്നിലെ ജലധാര, കാറ്റോവിസ്","ਪੋਲਿਸ਼ ਨੈਸ਼ਨਲ ਰੇਡੀਓ ਸਿੰਫਨੀ ਆਰਕੈਸਟਰਾ ਦੀ ਇਮਾਰਤ ਦੇ ਸਾਹਮਣੇ ਫੁਹਾਰਾ, ਕਾਤੋਵੀਤਸੇ","पोलिश नेशनल रेडियो सिम्फनी ऑर्केस्ट्रा की इमारत के सामने फव्वारा, कातोवित्से","Fonte em frente ao edifício da Orquestra Sinfónica Nacional da Rádio Polaca, Katowice","Fuente frente al edificio de la Orquesta Sinfónica Nacional de la Radio Polaca, Katowice","Fontana davanti all'edificio dell'Orchestra Sinfonica Nazionale della Radio Polacca, Katowice"
alt,"Fractals of nature, Lyon","Fractales de la nature, Lyon","പ്രകൃതിയുടെ ഫ്രാക്റ്റലുകൾ, ലിയോൺ","ਕੁਦਰਤ ਦੇ ਫ੍ਰੈਕਟਲ, ਲਿਓਂ","प्रकृति के भग्न, ल्यों","Fractais da natureza, Lyon","Fractales de la naturaleza, Lyon","Frattali della natura, Lione"
alt,Fresco at Knossos Heraklion,"Fresque à Knossos, Héraklion","ക്നോസോസിലെ ചുവർചിത്രം, ഹെറാക്ലിയോൺ","ਕਨੋਸੋਸ ਵਿੱਚ ਫ੍ਰੈਸਕੋ, ਹੇਰਾਕਲਿਓਨ","क्नोसोस में भित्तिचित्र, हेराक्लिओन","Fresco em Cnossos, Heraclião","Fresco en Cnosos, Heraclión","Affresco a Cnosso, Heraklion"
alt,"Frescos of Saint-Pierre-le-Jeune Protestant Church, Strasbourg (Cloister)","Fresques de l'église protestante Saint-Pierre-le-Jeune, Strasbourg (cloître)","സാൻ-പിയേർ-ലെ-ഷ്യൂൻ പ്രൊട്ടസ്റ്റന്റ് പള്ളിയിലെ ചുവർചിത്രങ്ങൾ, സ്ട്രാസ്ബൂർഗ് (ക്ലോയിസ്റ്റർ)","ਸੈਂ-ਪੀਅਰ-ਲੇ-ਜਨ ਪ੍ਰੋਟੈਸਟੈਂਟ ਗਿਰਜਾਘਰ ਦੇ ਫ੍ਰੈਸਕੋ, ਸਟ੍ਰਾਸਬੁਰਗ (ਕਲੋਇਸਟਰ)","सैं-पियर-ले-जन प्रोटेस्टेंट गिरजाघर के भित्तिचित्र, स्ट्रासबुर्ग (क्लॉइस्टर)","Frescos da Igreja Protestante Saint-Pierre-le-Jeune, Estrasburgo (Claustro)","Frescos de la Iglesia Protestante Saint-Pierre-le-Jeune, Estrasburgo (Claustro)","Affreschi della Chiesa Protestante Saint-Pierre-le-Jeune, Strasburgo (Chiostro)"
alt,"Front view, Templo Expiatorio del Sagrado Corazón","Vue de face, Templo Expiatorio del Sagrado Corazón","മുൻവശ ദൃശ്യം, ടെംപ്ലോ എക്സ്പിയറ്റോറിയോ ഡെൽ സഗ്രാഡോ കൊറാസോൺ","ਸਾਹਮਣੇ ਦਾ ਦ੍ਰਿਸ਼, ਟੈਂਪਲੋ ਐਕਸਪੀਆਤੋਰੀਓ ਡੇਲ ਸਾਗ੍ਰਾਡੋ ਕੋਰਾਸੋਨ","सामने का दृश्य, तेम्प्लो एक्सपियातोरियो देल साग्रादो कोराज़ोन","Vista frontal, Templo Expiatório do Sagrado Coração","Vista frontal, Templo Expiatorio del Sagrado Corazón","Vista frontale, Templo Expiatorio del Sagrado Corazón"
alt,"Garden view, Rue du Prince, Pérouges","Vue du jardin, Rue du Prince, Pérouges","പൂന്തോട്ട ദൃശ്യം, റ്യൂ ദ്യൂ പ്രിൻസ്, പേരൂജ്","ਬਾਗ਼ ਦਾ ਦ੍ਰਿਸ਼, ਰਯੂ ਦਯੂ ਪ੍ਰਿੰਸ, ਪੇਰੂਜ","बगीचे का दृश्य, रयू दयू प्रिंस, पेरूज","Vista do jardim, Rue du Prince, Pérouges","Vista del jardín, Rue du Prince, Pérouges","Veduta del giardino, Rue du Prince, Pérouges"
alt,Golden Hour in Lyon,Heure dorée à Lyon,ലിയോണിലെ സുവർണ്ണ നേരം,ਲਿਓਂ ਵਿੱਚ ਸੁਨਹਿਰੀ ਘੜੀ,ल्यों में स्वर्णिम बेला,Hora dourada em Lyon,Hora dorada en Lyon,Ora dorata a Lione
alt,Golden hour in Saint-Malo,Heure dorée à Saint-Malo,സാൻ-മാലോയിലെ സുവർണ്ണ നേരം,ਸੈਂ-ਮਾਲੋ ਵਿੱਚ ਸੁਨਹਿਰੀ ਘੜੀ,सैं-मालो में स्वर्णिम बेला,Hora dourada em Saint-Malo,Hora dorada en Saint-Malo,Ora dorata a Saint-Malo
alt,"Golden hour, Lyon","Heure dorée, Lyon","സുവർണ്ണ നേരം, ലിയോൺ","ਸੁਨਹਿਰੀ ਘੜੀ, ਲਿਓਂ","स्वर्णिम बेला, ल्यों","Hora dourada, Lyon","Hora dorada, Lyon","Ora dorata, Lione"
alt,Gondolas in Venice facing St Mark's Campanile,Gondoles à Venise face au campanile Saint-Marc,സെന്റ് മാർക്ക് കാമ്പനൈലിന് അഭിമുഖമായി വെനീസിലെ ഗൊണ്ടോളകൾ,ਸੇਂਟ ਮਾਰਕ ਕੈਂਪਾਨਾਈਲ ਦੇ ਸਾਹਮਣੇ ਵੇਨਿਸ ਵਿੱਚ ਗੋਂਡੋਲਾ,सेंट मार्क कैंपानील के सामने वेनिस में गोंडोला,Gôndolas em Veneza diante do Campanário de São Marcos,Góndolas en Venecia frente al Campanile de San Marcos,Gondole a Venezia di fronte al Campanile di San Marco
alt,"Gondolas in Venice, Italy","Gondoles à Venise, Italie","വെനീസിലെ ഗൊണ്ടോളകൾ, ഇറ്റലി","ਵੇਨਿਸ ਵਿੱਚ ਗੋਂਡੋਲਾ, ਇਟਲੀ","वेनिस में गोंडोला, इटली","Gôndolas em Veneza, Itália","Góndolas en Venecia, Italia","Gondole a Venezia, Italia"
alt,Hotel Monopol in Katowice,Hôtel Monopol à Katowice,കാറ്റോവിസിലെ ഹോട്ടൽ മോണോപോൾ,ਕਾਤੋਵੀਤਸੇ ਵਿੱਚ ਹੋਟਲ ਮੋਨੋਪੋਲ,कातोवित्से में होटल मोनोपोल,Hotel Monopol em Katowice,Hotel Monopol en Katowice,Hotel Monopol a Katowice
alt,Houses In Stockholm,Maisons à Stockholm,സ്റ്റോക്ക്ഹോമിലെ വീടുകൾ,ਸਟਾਕਹੋਮ ਵਿੱਚ ਘਰ,स्टॉकहोम में घर,Casas em Estocolmo,Casas en Estocolmo,Case a Stoccolma
alt,Houses in Gdansk on Motława river,Maisons à Gdansk sur la rivière Motława,മോട്ലാവ നദിക്കരയിൽ ഗ്ദാൻസ്കിലെ വീടുകൾ,ਮੋਟਲਾਵਾ ਨਦੀ ਉੱਤੇ ਗਦਾਂਸਕ ਵਿੱਚ ਘਰ,मोटवावा नदी पर ग्दांस्क में घर,Casas em Gdansk no rio Motława,Casas en Gdansk sobre el río Motława,Case a Danzica sul fiume Motława
alt,Hôpital général de Clermont-Ferrand,Hôpital général de Clermont-Ferrand,ക്ലെർമോൺ-ഫെറാനിലെ ജനറൽ ആശുപത്രി,ਕਲੇਰਮੋਂ-ਫੇਰਾਂ ਦਾ ਜਨਰਲ ਹਸਪਤਾਲ,क्लेरमों-फेरां का सामान्य अस्पताल,Hospital geral de Clermont-Ferrand,Hospital general de Clermont-Ferrand,Ospedale generale di Clermont-Ferrand
alt,"Hôtel de La Noue, Rennes","Hôtel de La Noue, Rennes","ഓത്തൽ ദെ ലാ നൂ, റെന്ന","ਓਤੇਲ ਦੇ ਲਾ ਨੂ, ਰੇਨ","ओतेल दे ला नू, रेन","Hôtel de La Noue, Rennes","Hôtel de La Noue, Rennes","Hôtel de La Noue, Rennes"
alt,"Immeuble, 10 rue Saint-Georges (Rennes)","Immeuble, 10 rue Saint-Georges (Rennes)","കെട്ടിടം, 10 റ്യൂ സാൻ-ജോർജ് (റെന്ന)","ਇਮਾਰਤ, 10 ਰਯੂ ਸੈਂ-ਜੋਰਜ (ਰੇਨ)","इमारत, 10 रयू सैं-जॉर्ज (रेन)","Edifício, 10 rue Saint-Georges (Rennes)","Edificio, 10 rue Saint-Georges (Rennes)","Edificio, 10 rue Saint-Georges (Rennes)"
alt,Interior details of St. Mary Magdalene Church in Wrocław,Détails intérieurs de l'église Sainte-Marie-Madeleine à Wrocław,വ്രോത്സ്വാവിലെ വിശുദ്ധ മേരി മഗ്ദലന പള്ളിയുടെ അകത്തെ വിശദാംശങ്ങൾ,ਵ੍ਰੋਤਸਵਾਫ ਵਿੱਚ ਸੇਂਟ ਮੈਰੀ ਮੈਗਡਲੀਨ ਗਿਰਜਾਘਰ ਦੇ ਅੰਦਰੂਨੀ ਵੇਰਵੇ,व्रॉत्सवाफ में सेंट मैरी मैग्डलीन चर्च के भीतरी विवरण,Detalhes interiores da Igreja de Santa Maria Madalena em Wrocław,Detalles interiores de la Iglesia de Santa María Magdalena en Wrocław,Dettagli interni della Chiesa di Santa Maria Maddalena a Wrocław
alt,Interior of Abbatiale de Mont Saint-Michel 20 (cropped),Intérieur de l'abbatiale du Mont Saint-Michel,മോൺ-സാൻ-മിഷേൽ ആശ്രമപ്പള്ളിയുടെ അകംഭാഗം,ਮੋਂ-ਸਾਂ-ਮੀਸ਼ੇਲ ਦੇ ਮੱਠ-ਗਿਰਜਾਘਰ ਦਾ ਅੰਦਰੂਨੀ ਹਿੱਸਾ,मों-सां-मिशेल के मठ-गिरजाघर का भीतरी भाग,Interior da Igreja Abacial do Monte Saint-Michel,Interior de la Iglesia Abacial del Monte Saint-Michel,Interno della Chiesa Abbaziale di Mont Saint-Michel
alt,Interior of Abbey of Mont Saint-Michel,Intérieur de l'abbaye du Mont Saint-Michel,മോൺ-സാൻ-മിഷേൽ ആശ്രമത്തിന്റെ അകംഭാഗം,ਮੋਂ-ਸਾਂ-ਮੀਸ਼ੇਲ ਦੇ ਮੱਠ ਦਾ ਅੰਦਰੂਨੀ ਹਿੱਸਾ,मों-सां-मिशेल के मठ का भीतरी भाग,Interior da Abadia do Monte Saint-Michel,Interior de la Abadía del Monte Saint-Michel,Interno dell'Abbazia di Mont Saint-Michel
alt,"Interior of Basilica of San Juan de Dios, Granada","Intérieur de la basilique de San Juan de Dios, Grenade","സാൻ ഹ്വാൻ ദെ ദിയോസ് ബസിലിക്കയുടെ അകംഭാഗം, ഗ്രനാഡ","ਸਾਨ ਖੁਆਨ ਦੇ ਦਿਓਸ ਬੈਸਿਲਿਕਾ ਦਾ ਅੰਦਰੂਨੀ ਹਿੱਸਾ, ਗ੍ਰਾਨਾਦਾ","सान खुआन दे दिओस बेसिलिका का भीतरी भाग, ग्रानादा","Interior da Basílica de San Juan de Dios, Granada","Interior de la Basílica de San Juan de Dios, Granada","Interno della Basilica di San Juan de Dios, Granada"
alt,Interior of Basilique Saint-Martin d'Ainay (Lyon),Intérieur de la basilique Saint-Martin d'Ainay (Lyon),സാൻ-മാർട്ടാൻ ദെനെ ബസിലിക്കയുടെ അകംഭാഗം (ലിയോൺ),ਸੈਂ-ਮਾਰਤੈਂ ਦੇਨੇ ਬੈਸਿਲਿਕਾ ਦਾ ਅੰਦਰੂਨੀ ਹਿੱਸਾ (ਲਿਓਂ),सैं-मार्तें देने बेसिलिका का भीतरी भाग (ल्यों),Interior da Basílica Saint-Martin d'Ainay (Lyon),Interior de la Basílica Saint-Martin d'Ainay (Lyon),Interno della Basilica di Saint-Martin d'Ainay (Lione)
alt,Interior of Basilique Saint-Nicolas (Nantes),Intérieur de la basilique Saint-Nicolas (Nantes),സാൻ-നിക്കോള ബസിലിക്കയുടെ അകംഭാഗം (നാന്ത്),ਸੈਂ-ਨਿਕੋਲਾ ਬੈਸਿਲਿਕਾ ਦਾ ਅੰਦਰੂਨੀ ਹਿੱਸਾ (ਨਾਂਤ),सैं-निकोला बेसिलिका का भीतरी भाग (नांत),Interior da Basílica Saint-Nicolas (Nantes),Interior de la Basílica Saint-Nicolas (Nantes),Interno della Basilica di Saint-Nicolas (Nantes)
alt,Interior of Cathédrale Notre-Dame de Grenoble,Intérieur de la cathédrale Notre-Dame de Grenoble,നോത്ര്-ദാം ദെ ഗ്രെനോബ്ല് കത്തീഡ്രലിന്റെ അകംഭാഗം,ਨੋਤ੍ਰ-ਦਾਮ ਦੇ ਗ੍ਰੇਨੋਬਲ ਕੈਥੇਡ੍ਰਲ ਦਾ ਅੰਦਰੂਨੀ ਹਿੱਸਾ,नोत्र-दाम दे ग्रेनोबल कैथेड्रल का भीतरी भाग,Interior da Catedral Notre-Dame de Grenoble,Interior de la Catedral Notre-Dame de Grenoble,Interno della Cattedrale di Notre-Dame a Grenoble
alt,Interior of Cathédrale Saint-Pierre de Nantes,Intérieur de la cathédrale Saint-Pierre de Nantes,നാന്തിലെ സാൻ-പിയേർ കത്തീഡ്രലിന്റെ അകംഭാഗം,ਨਾਂਤ ਦੇ ਸੈਂ-ਪੀਅਰ ਕੈਥੇਡ੍ਰਲ ਦਾ ਅੰਦਰੂਨੀ ਹਿੱਸਾ,नांत के सैं-पियर कैथेड्रल का भीतरी भाग,Interior da Catedral de Saint-Pierre de Nantes,Interior de la Catedral de Saint-Pierre de Nantes,Interno della Cattedrale di Saint-Pierre a Nantes
alt,Interior of Chapelle Sainte-Anne-des-Grèves de Saint-Malo,Intérieur de la chapelle Sainte-Anne-des-Grèves de Saint-Malo,സാൻ-മാലോയിലെ സാന്ത്-ആൻ-ദേ-ഗ്രെവ് ചാപ്പലിന്റെ അകംഭാഗം,ਸੈਂ-ਮਾਲੋ ਦੀ ਸੈਂਤ-ਆਨ-ਦੇ-ਗ੍ਰੇਵ ਚੈਪਲ ਦਾ ਅੰਦਰੂਨੀ ਹਿੱਸਾ,सैं-मालो की सैंत-आन-दे-ग्रेव चैपल का भीतरी भाग,Interior da Capela Sainte-Anne-des-Grèves de Saint-Malo,Interior de la Capilla Sainte-Anne-des-Grèves de Saint-Malo,Interno della Cappella Sainte-Anne-des-Grèves a Saint-Malo
alt,Interior of St. Mary Magdalene Church in Wrocław,Intérieur de l'église Sainte-Marie-Madeleine à Wrocław,വ്രോത്സ്വാവിലെ വിശുദ്ധ മേരി മഗ്ദലന പള്ളിയുടെ അകംഭാഗം,ਵ੍ਰੋਤਸਵਾਫ ਵਿੱਚ ਸੇਂਟ ਮੈਰੀ ਮੈਗਡਲੀਨ ਗਿਰਜਾਘਰ ਦਾ ਅੰਦਰੂਨੀ ਹਿੱਸਾ,व्रॉत्सवाफ में सेंट मैरी मैग्डलीन चर्च का भीतरी भाग,Interior da Igreja de Santa Maria Madalena em Wrocław,Interior de la Iglesia de Santa María Magdalena en Wrocław,Interno della Chiesa di Santa Maria Maddalena a Wrocław
alt,Interior of Église Saint-Louis de Bordeaux,Intérieur de l'église Saint-Louis de Bordeaux,ബോർഡോയിലെ സാൻ-ലൂയി പള്ളിയുടെ അകംഭാഗം,ਬੋਰਡੋ ਦੇ ਸੈਂ-ਲੂਈ ਗਿਰਜਾਘਰ ਦਾ ਅੰਦਰੂਨੀ ਹਿੱਸਾ,बोर्डो के सैं-लुई गिरजाघर का भीतरी भाग,Interior da Igreja de Saint-Louis de Bordéus,Interior de la Iglesia de Saint-Louis de Burdeos,Interno della Chiesa di Saint-Louis a Bordeaux
alt,Interior view of Église Sainte-Madeleine-de-l'Île de Martigues,Vue intérieure de l'église Sainte-Madeleine-de-l'Île de Martigues,മാർട്ടിഗിലെ സാന്ത്-മദ്‌ലെൻ-ദെ-ലിൽ പള്ളിയുടെ അകംദൃശ്യം,ਮਾਰਤੀਗ ਦੇ ਸੈਂਤ-ਮਾਦਲੇਨ-ਦੇ-ਲਿਲ ਗਿਰਜਾਘਰ ਦਾ ਅੰਦਰੂਨੀ ਦ੍ਰਿਸ਼,मार्तिग के सैंत-मादलेन-दे-लिल गिरजाघर का भीतरी दृश्य,Vista interior da Igreja de Sainte-Madeleine-de-l'Île de Martigues,Vista interior de la Iglesia de Sainte-Madeleine-de-l'Île de Martigues,Vista interna della Chiesa di Sainte-Madeleine-de-l'Île a Martigues
alt,Jardin des plantes de Nantes in Winter (December),Jardin des plantes de Nantes en hiver (décembre),ശൈത്യകാലത്ത് നാന്തിലെ ജാർദാൻ ദേ പ്ലാന്ത് (ഡിസംബർ),ਸਰਦੀਆਂ ਵਿੱਚ ਨਾਂਤ ਦਾ ਜਾਰਦੈਂ ਦੇ ਪਲਾਂਤ (ਦਸੰਬਰ),सर्दियों में नांत का जारदां दे प्लांत (दिसंबर),Jardim das plantas de Nantes no inverno (dezembro),Jardín de plantas de Nantes en invierno (diciembre),Giardino delle piante di Nantes in inverno (dicembre)
alt,Leaning Tower of Pisa,Tour penchée de Pise,പിസയിലെ ചരിഞ്ഞ ഗോപുരം,ਪੀਸਾ ਦਾ ਝੁਕਿਆ ਮੀਨਾਰ,पीसा की झुकी मीनार,Torre Inclinada de Pisa,Torre Inclinada de Pisa,Torre di Pisa
alt,Lintel of Eglise Saint-Pierre de Clermont,Linteau de l'église Saint-Pierre de Clermont,ക്ലെർമോണിലെ സാൻ-പിയേർ പള്ളിയുടെ കട്ടിളമേൽപ്പടി,ਕਲੇਰਮੋਂ ਦੇ ਸੈਂ-ਪੀਅਰ ਗਿਰਜਾਘਰ ਦਾ ਸਰਦਲ,क्लेरमों के सैं-पियर गिरजाघर का सरदल,Lintel da Igreja de Saint-Pierre de Clermont,Dintel de la Iglesia de Saint-Pierre de Clermont,Architrave della Chiesa di Saint-Pierre a Clermont
alt,Main hall of the Musée d'Orsay,Hall principal du Musée d'Orsay,മ്യൂസെ ദോർസെയുടെ പ്രധാന ഹാൾ,ਮਿਊਜ਼ੇ ਦੋਰਸੇ ਦਾ ਮੁੱਖ ਹਾਲ,म्यूज़े दॉर्से का मुख्य हॉल,Salão principal do Museu d'Orsay,Sala principal del Museo de Orsay,Sala principale del Museo d'Orsay
alt,"March of the Nations towards the Cross, Strasbourg","Marche des nations vers la Croix, Strasbourg","കുരിശിലേക്കുള്ള രാഷ്ട്രങ്ങളുടെ പ്രയാണം, സ്ട്രാസ്ബൂർഗ്","ਸਲੀਬ ਵੱਲ ਕੌਮਾਂ ਦਾ ਮਾਰਚ, ਸਟ੍ਰਾਸਬੁਰਗ","क्रॉस की ओर राष्ट्रों का कूच, स्ट्रासबुर्ग","Marcha das Nações rumo à Cruz, Estrasburgo","Marcha de las Naciones hacia la Cruz, Estrasburgo","Marcia delle Nazioni verso la Croce, Strasburgo"
alt,Market square of Nowy Sącz cityscape,Place du marché de Nowy Sącz,നോവി-സോഞ്ച് നഗരദൃശ്യത്തിലെ ചന്തസ്ഥലം,ਨੋਵੀ-ਸੋਂਚ ਦੇ ਸ਼ਹਿਰੀ ਦ੍ਰਿਸ਼ ਦਾ ਬਾਜ਼ਾਰ ਚੌਕ,नोवी-सॉन्च नगरदृश्य का बाज़ार चौक,Praça do mercado de Nowy Sącz,Plaza del mercado de Nowy Sącz,Piazza del mercato di Nowy Sącz
alt,Matthias Church Roof Budapest,"Toit de l'église Matthias, Budapest","മത്തിയാസ് പള്ളിയുടെ മേൽക്കൂര, ബുഡാപെസ്റ്റ്","ਮੈਥਿਆਸ ਚਰਚ ਦੀ ਛੱਤ, ਬੁਡਾਪੇਸਟ","मथायस चर्च की छत, बुडापेस्ट","Telhado da Igreja de Matthias, Budapeste","Tejado de la Iglesia de Matías, Budapest","Tetto della Chiesa di Mattia, Budapest"
alt,Matthias Church at Night Budapest,"Église Matthias la nuit, Budapest","രാത്രിയിൽ മത്തിയാസ് പള്ളി, ബുഡാപെസ്റ്റ്","ਰਾਤ ਨੂੰ ਮੈਥਿਆਸ ਚਰਚ, ਬੁਡਾਪੇਸਟ","रात में मथायस चर्च, बुडापेस्ट","Igreja de Matthias à noite, Budapeste","Iglesia de Matías de noche, Budapest","Chiesa di Mattia di notte, Budapest"
alt,Mont Saint-Michel at sunset time,Mont Saint-Michel au coucher du soleil,സൂര്യാസ്തമയ സമയത്ത് മോൺ-സാൻ-മിഷേൽ,ਸੂਰਜ ਡੁੱਬਣ ਵੇਲੇ ਮੋਂ-ਸਾਂ-ਮੀਸ਼ੇਲ,सूर्यास्त के समय मों-सां-मिशेल,Monte Saint-Michel ao pôr do sol,Monte Saint-Michel al atardecer,Mont Saint-Michel al tramonto
alt,Nantes St Nicolas basilica (Virgin altar),Basilique Saint-Nicolas de Nantes (autel de la Vierge),നാന്ത് സെന്റ് നിക്കോളസ് ബസിലിക്ക (കന്യകയുടെ അൾത്താര),ਨਾਂਤ ਸੇਂਟ ਨਿਕੋਲਸ ਬੈਸਿਲਿਕਾ (ਕੁਆਰੀ ਮਰੀਅਮ ਦੀ ਵੇਦੀ),नांत सेंट निकोलस बेसिलिका (कुँवारी मरियम की वेदी),Basílica de São Nicolau de Nantes (altar da Virgem),Basílica de San Nicolás de Nantes (altar de la Virgen),Basilica di San Nicola di Nantes (altare della Vergine)
alt,Narbonne market hall,Halle de Narbonne,നാർബോൺ ചന്തമണ്ഡപം,ਨਾਰਬੋਨ ਬਾਜ਼ਾਰ ਹਾਲ,नारबोन बाज़ार हॉल,Mercado coberto de Narbonne,Mercado cubierto de Narbona,Mercato coperto di Narbonne
alt,National Garden Athens,"Jardin national, Athènes","ദേശീയ ഉദ്യാനം, ഏഥൻസ്","ਰਾਸ਼ਟਰੀ ਬਾਗ਼, ਏਥਨਜ਼","राष्ट्रीय उद्यान, एथेंस","Jardim Nacional, Atenas","Jardín Nacional, Atenas","Giardino Nazionale, Atene"
alt,Nave of the Cathedral of Granada,Nef de la cathédrale de Grenade,ഗ്രനാഡ കത്തീഡ്രലിന്റെ നടുത്തളം,ਗ੍ਰਾਨਾਦਾ ਦੇ ਕੈਥੇਡ੍ਰਲ ਦੀ ਨੇਵ,ग्रानादा के कैथेड्रल की नेव,Nave da Catedral de Granada,Nave de la Catedral de Granada,Navata della Cattedrale di Granada
alt,"Notre-Dame de Grâce, Clermont-Ferrand","Notre-Dame de Grâce, Clermont-Ferrand","നോത്ര്-ദാം ദെ ഗ്രാസ്, ക്ലെർമോൺ-ഫെറാൻ","ਨੋਤ੍ਰ-ਦਾਮ ਦੇ ਗ੍ਰਾਸ, ਕਲੇਰਮੋਂ-ਫੇਰਾਂ","नोत्र-दाम दे ग्रास, क्लेरमों-फेरां","Notre-Dame de Grâce, Clermont-Ferrand","Notre-Dame de Grâce, Clermont-Ferrand","Notre-Dame de Grâce, Clermont-Ferrand"
alt,Palais de l'Isle Annecy,"Palais de l'Isle, Annecy","പാലെ ദെ ലിൽ, ആനസി","ਪਾਲੇ ਦੇ ਲਿਲ, ਐਨੇਸੀ","पाले दे लिल, एनेसी","Palais de l'Isle, Annecy","Palais de l'Isle, Annecy","Palais de l'Isle, Annecy"
alt,Panoramic View of Clermont-Ferrand from Montjuzet Park,Vue panoramique de Clermont-Ferrand depuis le parc de Montjuzet,മൊൻഷ്യൂസെ പാർക്കിൽ നിന്നുള്ള ക്ലെർമോൺ-ഫെറാന്റെ സമഗ്രദൃശ്യം,ਮੋਂਜ਼ੂਜ਼ੇ ਪਾਰਕ ਤੋਂ ਕਲੇਰਮੋਂ-ਫੇਰਾਂ ਦਾ ਪੈਨੋਰਮਿਕ ਦ੍ਰਿਸ਼,मोंजूज़े पार्क से क्लेरमों-फेरां का विहंगम दृश्य,Vista panorâmica de Clermont-Ferrand a partir do Parque de Montjuzet,Vista panorámica de Clermont-Ferrand desde el Parque de Montjuzet,Vista panoramica di Clermont-Ferrand dal Parco di Montjuzet
alt,Panoramic view of Lyon,Vue panoramique de Lyon,ലിയോണിന്റെ സമഗ്രദൃശ്യം,ਲਿਓਂ ਦਾ ਪੈਨੋਰਮਿਕ ਦ੍ਰਿਸ਼,ल्यों का विहंगम दृश्य,Vista panorâmica de Lyon,Vista panorámica de Lyon,Vista panoramica di Lione
alt,Panoramic view of Lyon and trees,Vue panoramique de Lyon et des arbres,ലിയോണിന്റെയും വൃക്ഷങ്ങളുടെയും സമഗ്രദൃശ്യം,ਲਿਓਂ ਅਤੇ ਰੁੱਖਾਂ ਦਾ ਪੈਨੋਰਮਿਕ ਦ੍ਰਿਸ਼,ल्यों और वृक्षों का विहंगम दृश्य,Vista panorâmica de Lyon e árvores,Vista panorámica de Lyon y árboles,Vista panoramica di Lione e alberi
alt,Panoramics of Nantes,Panoramas de Nantes,നാന്തിന്റെ സമഗ്രദൃശ്യങ്ങൾ,ਨਾਂਤ ਦੇ ਪੈਨੋਰਮਿਕ ਦ੍ਰਿਸ਼,नांत के विहंगम दृश्य,Panorâmicas de Nantes,Panorámicas de Nantes,Panoramiche di Nantes
alt,Passage Pommeraye in Winter (December),Passage Pommeraye en hiver (décembre),ശൈത്യകാലത്ത് പസാഷ് പൊമ്മറെ (ഡിസംബർ),ਸਰਦੀਆਂ ਵਿੱਚ ਪਾਸਾਜ ਪੋਮਰੇ (ਦਸੰਬਰ),सर्दियों में पासाज पोमरे (दिसंबर),Passage Pommeraye no inverno (dezembro),Passage Pommeraye en invierno (diciembre),Passage Pommeraye in inverno (dicembre)
alt,Pipe organ of Basilique Saint-Nicolas (Nantes),Orgue de la basilique Saint-Nicolas (Nantes),സാൻ-നിക്കോള ബസിലിക്കയിലെ പൈപ്പ് ഓർഗൻ (നാന്ത്),ਸੈਂ-ਨਿਕੋਲਾ ਬੈਸਿਲਿਕਾ ਦਾ ਪਾਈਪ ਆਰਗਨ (ਨਾਂਤ),सैं-निकोला बेसिलिका का पाइप ऑर्गन (नांत),Órgão de tubos da Basílica Saint-Nicolas (Nantes),Órgano de tubos de la Basílica Saint-Nicolas (Nantes),Organo a canne della Basilica di Saint-Nicolas (Nantes)
